Druh školy skrátený;Typ školy skrátený;Druh 1;Druh 2;Kraj názov;NUTS3;Okres názov;LAU1;Počet organizačných zložiek;Zriaďovateľ - Forma vlastníctva názov;Zriaďovateľ - Typ názov;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Košický;SK042;Košice - okolie;SK0426;3;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Košický;SK042;Košice I;SK0422;1;súkromná;súkromník;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Košický;SK042;Košice I;SK0422;6;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Košický;SK042;Košice II;SK0423;1;súkromná;súkromník;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Košický;SK042;Košice II;SK0423;2;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Košický;SK042;Košice III;SK0424;1;súkromná;súkromník;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Košický;SK042;Košice IV;SK0425;6;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Košický;SK042;Michalovce;SK0427;1;súkromná;súkromník;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Košický;SK042;Michalovce;SK0427;6;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Košický;SK042;Rožňava;SK0428;2;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Košický;SK042;Sobrance;SK0429;1;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Košický;SK042;Spišská Nová Ves;SK042A;2;cirkevná;cirkev, náboženská spoločnosť;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Košický;SK042;Spišská Nová Ves;SK042A;12;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Košický;SK042;Trebišov;SK042B;8;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Nitriansky;SK023;Komárno;SK0231;4;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Nitriansky;SK023;Levice;SK0232;4;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Nitriansky;SK023;Nitra;SK0233;1;súkromná;súkromník;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Nitriansky;SK023;Nitra;SK0233;6;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Nitriansky;SK023;Nové Zámky;SK0234;2;súkromná;súkromník;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Nitriansky;SK023;Nové Zámky;SK0234;4;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Nitriansky;SK023;Šaľa;SK0235;1;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Nitriansky;SK023;Topoľčany;SK0236;3;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Nitriansky;SK023;Zlaté Moravce;SK0237;2;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Prešovský;SK041;Bardejov;SK0411;3;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Prešovský;SK041;Humenné;SK0412;3;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Prešovský;SK041;Kežmarok;SK0413;5;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Prešovský;SK041;Levoča;SK0414;5;cirkevná;cirkev, náboženská spoločnosť;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Prešovský;SK041;Levoča;SK0414;5;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Prešovský;SK041;Medzilaborce;SK0415;1;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Prešovský;SK041;Poprad;SK0416;1;súkromná;súkromník;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Prešovský;SK041;Poprad;SK0416;4;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Prešovský;SK041;Prešov;SK0417;1;cirkevná;cirkev, náboženská spoločnosť;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Prešovský;SK041;Prešov;SK0417;3;súkromná;súkromník;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Prešovský;SK041;Prešov;SK0417;10;štátna;regionálny úrad školskej správy;
